"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 12 05:53:08 GMT 2023","Sat Aug 12 05:53:08 GMT 2023","171","","consultando dados do DB","","","","[query] consulta um dado e exclui pelo ""index"", depois realiza consulta e valida se foi excluído",""
"passed","Sat Aug 12 05:53:08 GMT 2023","Sat Aug 12 05:53:08 GMT 2023","100","","consultando dados do DB","","","","[query] consulta pelo ""name""",""
"passed","Sat Aug 12 05:53:09 GMT 2023","Sat Aug 12 05:53:09 GMT 2023","77","","consultando dados do DB","","","","[query] consulta a quantidade de dados ""unknown"" na coluna ""pokemon_type1""",""
"passed","Sat Aug 12 05:53:01 GMT 2023","Sat Aug 12 05:53:01 GMT 2023","79","","excluindo dados do DB","","","","[delete] exclui um dado dentro da collection e do DB",""
"passed","Sat Aug 12 05:53:09 GMT 2023","Sat Aug 12 05:53:09 GMT 2023","70","","consultando dados do DB","","","","[query] consulta a quantidade de dados ""vazios"" na coluna ""index""",""
"passed","Sat Aug 12 05:53:15 GMT 2023","Sat Aug 12 05:53:15 GMT 2023","133","","atualizando dados do DB","","","","[update] atualiza o ""nome"", depois realiza consulta e valida se foi atualizado",""
"passed","Sat Aug 12 05:52:49 GMT 2023","Sat Aug 12 05:52:49 GMT 2023","110","","criando dados ao DB","","","","[create] inserir um dado do tipo email",""
"passed","Sat Aug 12 05:53:08 GMT 2023","Sat Aug 12 05:53:09 GMT 2023","185","","consultando dados do DB","","","","[query] consulta a quantidade de dados ""vazios"" na coluna ""pokemon_type2""",""
"passed","Sat Aug 12 05:53:15 GMT 2023","Sat Aug 12 05:53:15 GMT 2023","85","","atualizando dados do DB","","","","[update] atualiza um dado de acordo com o ""index"", depois realiza consulta e valida se foi atualizado",""
"passed","Sat Aug 12 05:53:01 GMT 2023","Sat Aug 12 05:53:01 GMT 2023","182","","excluindo dados do DB","","","","[delete] derruba uma collection",""
"passed","Sat Aug 12 05:52:49 GMT 2023","Sat Aug 12 05:52:49 GMT 2023","184","","criando dados ao DB","","","","[create] cria uma collection",""
"passed","Sat Aug 12 05:53:08 GMT 2023","Sat Aug 12 05:53:08 GMT 2023","154","","consultando dados do DB","","","","[query] consulta pelo type ""water""",""
"passed","Sat Aug 12 05:52:49 GMT 2023","Sat Aug 12 05:52:50 GMT 2023","93","","criando dados ao DB","","","","[create] inserir muitos dados em conjunto",""
