"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 14 01:48:16 GMT 2023","Mon Aug 14 01:48:16 GMT 2023","185","","Performance dos dados ao DB","","","","[performance] tempo de resposta de uma query em ms",""
"passed","Mon Aug 14 01:47:54 GMT 2023","Mon Aug 14 01:47:55 GMT 2023","168","","Criando dados ao DB","","","","[create] cria uma collection",""
"passed","Mon Aug 14 01:48:23 GMT 2023","Mon Aug 14 01:48:23 GMT 2023","87","","Consultando dados do DB","","","","[query] consulta a quantidade de dados ""unknown"" na coluna ""pokemon_type1""",""
"passed","Mon Aug 14 01:48:07 GMT 2023","Mon Aug 14 01:48:07 GMT 2023","186","","Excluindo dados do DB","","","","[delete] derruba uma collection",""
"passed","Mon Aug 14 01:48:07 GMT 2023","Mon Aug 14 01:48:07 GMT 2023","101","","Excluindo dados do DB","","","","[delete] exclui um dado dentro da collection e do DB",""
"passed","Mon Aug 14 01:48:23 GMT 2023","Mon Aug 14 01:48:23 GMT 2023","126","","Consultando dados do DB","","","","[query] consulta a quantidade de dados ""nulos"" na coluna ""pokemon_type2""",""
"passed","Mon Aug 14 01:48:31 GMT 2023","Mon Aug 14 01:48:31 GMT 2023","120","","Atualizando dados do DB","","","","[update] atualiza o ""nome"", depois realiza consulta e valida se foi atualizado",""
"passed","Mon Aug 14 01:47:55 GMT 2023","Mon Aug 14 01:47:55 GMT 2023","94","","Criando dados ao DB","","","","[create] inserir um dado do tipo email",""
"passed","Mon Aug 14 01:48:23 GMT 2023","Mon Aug 14 01:48:23 GMT 2023","104","","Consultando dados do DB","","","","[query] consulta pelo type ""water""",""
"passed","Mon Aug 14 01:48:23 GMT 2023","Mon Aug 14 01:48:23 GMT 2023","110","","Consultando dados do DB","","","","[query] consulta pelo ""name""",""
"passed","Mon Aug 14 01:48:23 GMT 2023","Mon Aug 14 01:48:23 GMT 2023","68","","Consultando dados do DB","","","","[query] consulta a quantidade de dados ""nulos"" na coluna ""index""",""
"passed","Mon Aug 14 01:48:23 GMT 2023","Mon Aug 14 01:48:23 GMT 2023","96","","Consultando dados do DB","","","","[query] consulta um dado e exclui pelo ""index"", depois realiza consulta e valida se foi excluído",""
"passed","Mon Aug 14 01:48:31 GMT 2023","Mon Aug 14 01:48:31 GMT 2023","76","","Atualizando dados do DB","","","","[update] atualiza um dado de acordo com o ""index"", depois realiza consulta e valida se foi atualizado",""
"passed","Mon Aug 14 01:47:55 GMT 2023","Mon Aug 14 01:47:55 GMT 2023","93","","Criando dados ao DB","","","","[create] inserir muitos dados em conjunto",""
