"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 14 17:05:50 GMT 2023","Mon Aug 14 17:05:50 GMT 2023","145","","Excluindo dados do DB","","","","[delete] derruba uma collection",""
"passed","Mon Aug 14 17:06:07 GMT 2023","Mon Aug 14 17:06:07 GMT 2023","114","","Consultando dados do DB","","","","[query] consulta pelo ""name""",""
"passed","Mon Aug 14 17:06:08 GMT 2023","Mon Aug 14 17:06:08 GMT 2023","81","","Consultando dados do DB","","","","[query] consulta a quantidade de dados ""nulos"" na coluna ""index""",""
"passed","Mon Aug 14 17:05:59 GMT 2023","Mon Aug 14 17:06:00 GMT 2023","316","","Performance dos dados ao DB","","","","[performance] tempo de resposta de uma query em ms",""
"passed","Mon Aug 14 17:06:08 GMT 2023","Mon Aug 14 17:06:08 GMT 2023","103","","Consultando dados do DB","","","","[query] consulta a quantidade de dados ""unknown"" na coluna ""pokemon_type1""",""
"passed","Mon Aug 14 17:06:07 GMT 2023","Mon Aug 14 17:06:07 GMT 2023","138","","Consultando dados do DB","","","","[query] consulta pelo type ""water""",""
"passed","Mon Aug 14 17:05:35 GMT 2023","Mon Aug 14 17:05:35 GMT 2023","116","","Criando dados ao DB","","","","[create] inserir muitos dados em conjunto",""
"passed","Mon Aug 14 17:06:15 GMT 2023","Mon Aug 14 17:06:15 GMT 2023","160","","Atualizando dados do DB","","","","[update] atualiza o ""nome"", depois realiza consulta e valida se foi atualizado",""
"passed","Mon Aug 14 17:05:35 GMT 2023","Mon Aug 14 17:05:35 GMT 2023","212","","Criando dados ao DB","","","","[create] cria uma collection",""
"passed","Mon Aug 14 17:05:50 GMT 2023","Mon Aug 14 17:05:50 GMT 2023","68","","Excluindo dados do DB","","","","[delete] exclui um dado dentro da collection e do DB",""
"passed","Mon Aug 14 17:06:15 GMT 2023","Mon Aug 14 17:06:15 GMT 2023","96","","Atualizando dados do DB","","","","[update] atualiza um dado de acordo com o ""index"", depois realiza consulta e valida se foi atualizado",""
"passed","Mon Aug 14 17:06:08 GMT 2023","Mon Aug 14 17:06:08 GMT 2023","150","","Consultando dados do DB","","","","[query] consulta a quantidade de dados ""nulos"" na coluna ""pokemon_type2""",""
"passed","Mon Aug 14 17:05:35 GMT 2023","Mon Aug 14 17:05:35 GMT 2023","137","","Criando dados ao DB","","","","[create] inserir um dado do tipo email",""
"passed","Mon Aug 14 17:06:07 GMT 2023","Mon Aug 14 17:06:08 GMT 2023","126","","Consultando dados do DB","","","","[query] consulta um dado e exclui pelo ""index"", depois realiza consulta e valida se foi excluído",""
