"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 13 16:19:14 GMT 2023","Sun Aug 13 16:19:14 GMT 2023","71","","Excluindo dados do DB","","","","[delete] exclui um dado dentro da collection e do DB",""
"passed","Sun Aug 13 16:19:59 GMT 2023","Sun Aug 13 16:19:59 GMT 2023","141","","Atualizando dados do DB","","","","[update] atualiza o ""nome"", depois realiza consulta e valida se foi atualizado",""
"passed","Sun Aug 13 16:19:52 GMT 2023","Sun Aug 13 16:19:52 GMT 2023","128","","Consultando dados do DB","","","","[query] consulta a quantidade de dados ""unknown"" na coluna ""pokemon_type1""",""
"passed","Sun Aug 13 16:19:52 GMT 2023","Sun Aug 13 16:19:52 GMT 2023","259","","Consultando dados do DB","","","","[query] consulta a quantidade de dados ""nulos"" na coluna ""pokemon_type2""",""
"passed","Sun Aug 13 16:19:03 GMT 2023","Sun Aug 13 16:19:03 GMT 2023","101","","Criando dados ao DB","","","","[create] inserir um dado do tipo email",""
"passed","Sun Aug 13 16:19:52 GMT 2023","Sun Aug 13 16:19:52 GMT 2023","128","","Consultando dados do DB","","","","[query] consulta a quantidade de dados ""nulos"" na coluna ""index""",""
"passed","Sun Aug 13 16:19:51 GMT 2023","Sun Aug 13 16:19:51 GMT 2023","177","","Consultando dados do DB","","","","[query] consulta pelo ""name""",""
"passed","Sun Aug 13 16:19:52 GMT 2023","Sun Aug 13 16:19:52 GMT 2023","130","","Consultando dados do DB","","","","[query] consulta um dado e exclui pelo ""index"", depois realiza consulta e valida se foi excluído",""
"passed","Sun Aug 13 16:19:51 GMT 2023","Sun Aug 13 16:19:52 GMT 2023","281","","Consultando dados do DB","","","","[query] consulta pelo type ""water""",""
"passed","Sun Aug 13 16:19:03 GMT 2023","Sun Aug 13 16:19:03 GMT 2023","195","","Criando dados ao DB","","","","[create] cria uma collection",""
"passed","Sun Aug 13 16:19:14 GMT 2023","Sun Aug 13 16:19:14 GMT 2023","117","","Excluindo dados do DB","","","","[delete] derruba uma collection",""
"passed","Sun Aug 13 16:19:04 GMT 2023","Sun Aug 13 16:19:04 GMT 2023","91","","Criando dados ao DB","","","","[create] inserir muitos dados em conjunto",""
"passed","Sun Aug 13 16:19:59 GMT 2023","Sun Aug 13 16:19:59 GMT 2023","98","","Atualizando dados do DB","","","","[update] atualiza um dado de acordo com o ""index"", depois realiza consulta e valida se foi atualizado",""
